pop,rock,country,metal,hip hop,R&B,Dance/Electronic,Folk/Acoustic,easy listening,latin,blues,set(),World/Traditional,jazz,classical,year,popularity
1.0,,,,,,,,,,,,,,,2004,21
,1.0,,,,,1.0,,,,,,,,,2005,54
1.0,,,,,1.0,,,,,,,,,,2005,64
1.0,,,,1.0,,,,,,,,,,,2005,55
,,,,1.0,,,,,,,,,,,2004,77
1.0,,,,,,,,,1.0,,,,,,2005,72
,,,,1.0,,,,,,,,,,,2005,73
1.0,,,,1.0,,,,,,,,,,,2004,54
1.0,1.0,,,,,,,,,,,,,,2005,58
1.0,,,,1.0,,,,,,,,,,,2005,52
1.0,,,,1.0,,,,,,,,,,,2004,50
1.0,,,,1.0,,,,,,,,,,,2005,63
1.0,,,,1.0,1.0,,,,,,,,,,2005,67
1.0,,,,,,,1.0,,,,,,,,2005,56
,,,,,,,,,,,1.0,,,,2004,42
1.0,,,,1.0,1.0,,,,,,,,,,2005,65
1.0,,,,,,,,,,,,,,,2005,63
1.0,,,,1.0,1.0,,,,,,,,,,2005,63
,,,,1.0,,,,,,,,,,,2005,61
1.0,,,,1.0,,,,,,,,,,,2004,39
1.0,,,,1.0,,,,,,,,,,,2005,41
1.0,,,,,1.0,,,,,,,,,,2004,63
1.0,,,,,1.0,,,,,,,,,,2005,52
1.0,,,,1.0,1.0,,,,,,,,,,2008,52
1.0,,,,1.0,,,,,,,,,,,2004,59
,1.0,,,,,,,,,,,,,,2005,61
1.0,,,,,,,1.0,,,,,,,,2005,52
1.0,,,,,1.0,,,,,,,,,,2004,69
1.0,,,,1.0,1.0,,,,,,,,,,2005,59
,1.0,,,,,,,,,,,,,,2005,74
1.0,,,,,1.0,,,,,,,,,,2003,50
,,,,1.0,,,,,,,,,,,2004,68
1.0,,,,1.0,1.0,,,,,,,,,,2005,56
1.0,,,,,,,,1.0,,,,,1.0,,2005,60
1.0,,,,1.0,,,,,,,,,,,2004,66
1.0,,,,,1.0,,,,,,,,,,2005,0
1.0,,,,1.0,,,,,,,,,,,2005,57
1.0,,,,1.0,,,,,,,,,,,2020,34
1.0,,,,1.0,1.0,,,,,,,,,,2005,66
,1.0,,,,,,,,,,,,,,2005,58
1.0,,,,,1.0,,,,,,,,,,2004,59
1.0,,,,1.0,,,,,,,,,,,2005,61
1.0,,,,,,,,,,,,,,,2005,1
1.0,,,,1.0,1.0,,,,,,,,,,2005,62
,1.0,,1.0,,,,,,,,,,,,2004,60
,1.0,,,,,,,,,,,,,,2006,71
1.0,,,,,,,,,,,,,,,2006,1
1.0,,,,1.0,1.0,,,,,,,,,,2005,62
,1.0,,,,,,,,,,,,,,2005,63
1.0,,,,1.0,1.0,,,,,,,,,,2004,61
1.0,,,,,1.0,,,,,,,,,,2004,71
1.0,1.0,,1.0,,,,,,,,,,,,2012,52
,1.0,,1.0,,,,,,,,,,,,2005,67
1.0,,,,1.0,1.0,,,,,,,,,,2005,0
1.0,,,,,1.0,,,,,,,,,,2004,58
1.0,,,,,1.0,,,,,,,,,,2005,67
1.0,,,,,,,,,,,,,,,2004,62
1.0,1.0,,,,,,,,,,,,,,2005,69
,,,,1.0,,,,,,,,,,,2004,67
1.0,,,,1.0,1.0,,,,,,,,,,2004,61
1.0,1.0,,,,,,,,,,,,,,2005,69
1.0,,,,,,,1.0,,,,,1.0,,,2005,71
1.0,,,,,1.0,,,,,,,,,,2004,55
1.0,,,,,1.0,,,,,,,,,,2004,71
,1.0,,,,,,,,,,,1.0,,,2004,56
1.0,1.0,,,,,,,,,,,,,,2005,65
,,1.0,,,,,,,,,,,,,2005,67
1.0,,,,,1.0,,,,,,,,,,2004,59
,1.0,,1.0,,,,,,,,,,,,2005,76
1.0,,,,,,,,,1.0,,,,,,2005,82
1.0,,,,1.0,,,,,,,,,,,2005,78
1.0,,,,,,,,,,,,,,,2006,78
1.0,,,,,1.0,,,,,,,,,,2007,70
,,,,,1.0,,,,,,,,,,2006,71
1.0,,,,1.0,1.0,,,,,,,,,,2006,73
,,,,1.0,1.0,,,,,,,,,,2006,74
1.0,,,,1.0,,,,,,,,,,,2006,61
1.0,,,,1.0,,,,,1.0,,,,,,2006,79
1.0,,,,,,1.0,,,,,,,,,2006,69
1.0,,,,1.0,,,,,,,,,,,2006,55
1.0,,,,,,,,,,,,,,,2005,61
1.0,,,,1.0,,,,,,,,,,,2005,71
1.0,,,,1.0,,,,,,,,,,,2005,75
1.0,,,,1.0,,,,,1.0,,,,,,2006,82
1.0,,,,,,1.0,,,,,,,,,2015,39
1.0,,,,1.0,,,,,,,,,,,2006,58
1.0,,,,,1.0,,,,,,,,,,2005,68
1.0,,,,,1.0,,,,,,,,,,2006,59
,,,,1.0,,,,,,,,,,,2005,74
1.0,,,,1.0,1.0,,,,,,,,,,2006,65
,1.0,,,,,,,,,,,,,,2006,75
1.0,,,,1.0,1.0,,,,,,,,,,2005,63
1.0,,,,,,,,,,,,,,,2004,57
1.0,,,,,1.0,,,,,,,,,,2006,73
1.0,,,,1.0,,,,,,,,,,,2006,63
1.0,,,,,1.0,,,,,,,,,,2005,57
1.0,,,,1.0,,,,,,,,,,,2006,67
1.0,,,,,,1.0,,,,,,,,,2006,40
,,,,1.0,,,,,,,,,,,2005,68
1.0,,,,1.0,,,,,,,,,,,2006,66
1.0,,,,,,,,,,,,,,,2006,1
1.0,,,,,,,,,,,,,,,2006,72
,1.0,,1.0,,,,,,,,,,,,2005,65
1.0,,,,1.0,1.0,,,,,,,,,,2005,60
1.0,,,,,,,,,,,,,,,2006,64
1.0,,,,,1.0,,,,,,,,,,2006,57
1.0,,,,1.0,,1.0,,,,,,,,,2011,0
1.0,,,,1.0,,,,,,,,,,,2005,63
1.0,,,,1.0,1.0,,,,,,,,,,2006,42
1.0,,,,,1.0,,,,,,,,,,2007,57
1.0,,,,,,,,,,,,,,,2006,0
,,,,1.0,,,,,,,,,,,2005,68
1.0,,,,,1.0,1.0,,,,,,,,,2006,50
1.0,,,,,,1.0,,,,,,,,,2005,49
,,,,,,,,,,,1.0,,,,2005,46
1.0,,,,,1.0,,,,,,,,,,2005,69
1.0,,,,,,1.0,,,,,,,,,2012,49
1.0,,,,1.0,1.0,,,,,,,,,,2006,70
,,,,1.0,,,,,,,,,,,2005,73
1.0,,,,1.0,,,,,,,,,,,2006,60
,,,1.0,,,,,,,,,,,,2006,65
1.0,,,,1.0,1.0,,,,,,,,,,2006,62
,1.0,,1.0,,,,,,,,,,,,2005,70
,1.0,,,,,,,,,,,,,,2005,74
1.0,,,,,1.0,,,,,,,,,,2007,57
1.0,,,,1.0,,,,,,,,,,,2006,64
1.0,,,,1.0,,,,,,,,,,,2006,62
1.0,,,,,,,,,,,,,,,2006,37
1.0,,,,1.0,,,,,,,,,,,2006,56
,1.0,,,,,,,,,,,,,,2006,72
,,1.0,,,,,,,,,,,,,2006,0
1.0,,,,,1.0,,,,,,,,,,2006,45
1.0,,,,1.0,1.0,,,,,,,,,,2005,72
1.0,,,,,,,,,,,,,,,2006,68
1.0,,,,,1.0,,,,,,,,,,2006,67
1.0,,,,1.0,1.0,,,,,,,,,,2006,48
1.0,,,,,1.0,,,,,,,,,,2005,64
1.0,,1.0,,1.0,,,,,,,,,,,2005,62
,,,,,1.0,,,,,,,,,,2006,63
,,1.0,,,,,,,,,,,,,2006,69
,1.0,,,,,,,,,,,,,,2006,76
1.0,1.0,,,,,1.0,,,,,,,,,2006,63
1.0,,,,,1.0,,,,,,,,,,2006,75
1.0,1.0,,1.0,,,,,,,,,,,,2019,35
,1.0,,,,,,,,,,,,,,2006,56
,1.0,,,,,,,,,,,,,,2006,68
1.0,1.0,,,1.0,,,,,,,,,,,2005,42
1.0,,,,,1.0,,,,,,,,,,2005,67
,1.0,,,,,,,,,,,,,,2005,70
1.0,,,,,,,,,,,,,,,2005,67
1.0,,,,,,,,,,,,,,,2006,63
1.0,,,,,,,,,,,,,,,2006,0
1.0,,,,,,,,,,,,,,,2006,59
1.0,,,,,,,,,,,,,,,2006,46
1.0,,,,1.0,1.0,,,,,,,,,,2005,0
1.0,,,,,,,1.0,,,,,1.0,,,2005,64
1.0,,,,,,,,,,,,,,,2004,2
1.0,1.0,,,,,,,,,,,,,,2006,67
1.0,,,,,1.0,,,,,,,,,,2006,64
1.0,1.0,,,,,,,,,,,1.0,,,2006,35
1.0,,,,,,,,,,,,,,,2005,79
1.0,,,,,,,,,,,,1.0,,,2006,61
,1.0,,,,,,,,,,,,,,2006,76
1.0,1.0,,,,,,,,,,,,,,2006,59
1.0,1.0,,,,,,,,,,,,,,2005,65
1.0,,,,,1.0,,,,,,,,,,2006,49
1.0,,,,1.0,1.0,,,,,,,,,,2005,69
1.0,,,,,,,,,,,,,,,2006,0
,1.0,,,,,,,,,,,,,,2006,73
1.0,,,,,1.0,,,,,,,,,,2007,75
1.0,,,,1.0,1.0,,,,,,,,,,2008,81
1.0,,,,,,,,,,,,,,,2007,79
1.0,,,,,1.0,,,,,,,,,,2006,76
1.0,,,,,,,,,,,,,,,2007,0
1.0,,,,,,,,,,,,,,,2005,78
1.0,,,,,,,,,,,,,,,2006,70
1.0,,,,,1.0,,,,,,,,,,2006,71
1.0,,,,1.0,1.0,,,,,,,,,,2007,80
1.0,,,,1.0,,,,,1.0,,,,,,2006,81
,,,,,,,,,,,1.0,,,,2012,43
,,,,,,1.0,,,,,,,,,2007,73
1.0,,,,,,1.0,,,,,,,,,2007,65
1.0,,,,,,,,,,,,,,,2006,58
1.0,,,,1.0,1.0,,,,,,,,,,2007,70
1.0,,,,1.0,,,,,,,,,,,2007,67
1.0,,,,,,1.0,,,,,,,,,2007,0
1.0,,,,,,1.0,,,,,,,,,2015,0
1.0,,,,,1.0,,,,,,,,,,2006,68
,,,,1.0,,,,,,,,,,,2007,54
1.0,,,,,1.0,,,,,,,,,,2007,64
1.0,,,,1.0,,,,,,,,,,,2007,59
1.0,,,,,,,,,,,,,,,2006,53
1.0,,,,1.0,,,,,,,,,,,2007,74
1.0,,,,1.0,,,,,,,,,,,2006,59
1.0,,,,,,,,,,,,,,,2006,0
1.0,,,,1.0,1.0,,,,,,,,,,2008,69
1.0,,,,1.0,1.0,,,,,,,,,,2007,62
,,,,1.0,,,,,,,,,,,2007,47
,,,,,,,,,,,1.0,,,,2006,17
,1.0,,1.0,,,,,,,,,,,,2007,77
1.0,,,,1.0,1.0,,,,,,,,,,2007,60
1.0,,,,1.0,1.0,,,,,,,,,,2007,68
1.0,,,,1.0,,,,,,,,,,,2007,61
,1.0,,1.0,,,,,,,,,,,,2007,73
1.0,,,,,,,,,,,,,,,2006,66
1.0,,,,1.0,,,,,,,,,,,2007,59
1.0,,,,1.0,1.0,,,,,,,,,,2007,62
,1.0,,1.0,,,,,,,,,,,,2007,73
1.0,,,,,,,,,,,,,,,2006,64
,1.0,,,,,,,,,,,,,,2007,67
1.0,,,,,,,,,,,,,,,2006,72
1.0,,,,,1.0,,,,,,,,,,2006,64
,1.0,,1.0,,,,,,,,,,,,2007,73
,1.0,,,,,,,,,,,,,,2006,80
1.0,,,,1.0,,1.0,,,,,,,,,2007,57
1.0,,,,,1.0,,,,,,,,,,2007,66
1.0,,,,,,,,,,,,,,,2007,75
1.0,,,,,1.0,,,,,,,,,,2007,74
1.0,1.0,,1.0,,,,,,,,,,,,2016,45
1.0,,,,1.0,,,,,,,,,,,2013,48
1.0,,,,1.0,1.0,,,,,,,,,,2007,70
,1.0,,,,,,,,,,,,,,2007,65
1.0,,,,1.0,1.0,,,,,,,,,,2007,3
1.0,,,,1.0,,,,,,,,,,,2006,59
1.0,,,,,1.0,,,,,,,,,,2006,63
1.0,,,,1.0,1.0,,,,,,,,,,2006,57
1.0,,,,1.0,1.0,,,,,,,,,,2007,57
,1.0,,1.0,,,,,,,,,,,,2005,69
,1.0,,,,,,,,,,,,,,2007,76
1.0,,,,,,,,,,,,,,,2006,57
,1.0,,,,,,,,,,,,,,2007,76
,,,,,1.0,,,,,,,,,,2006,76
1.0,,,,1.0,1.0,,,,,,,,,,2007,58
1.0,,,,,1.0,,,,,,,,,,2006,56
1.0,,,,,,,,,1.0,,,,,,2007,45
,,,,,,1.0,,,,,,,,,2017,59
1.0,,,,,,1.0,,,,,,,,,2005,36
1.0,,,,,,,,,,,,,,,2007,62
,1.0,,,,,,,,,,,,,,2007,68
1.0,1.0,,,,,,,,,,,,,,2007,72
1.0,1.0,,1.0,,,,,,,,,,,,2019,30
1.0,,,,1.0,,,,,,,,,,,2006,52
,1.0,,1.0,,,,,,,,,,,,2007,78
1.0,,,,1.0,1.0,,,,,,,,,,2007,61
,1.0,,,,,,,,,,,,,,2007,67
1.0,,,,,,,,,,,,,,,2007,46
1.0,,,,1.0,1.0,,,,,,,,,,2006,57
1.0,,,,1.0,,,,,,,,,,,2006,0
1.0,,,,,,,,,,,,,,,2006,74
1.0,,,,,,,,,,,,,,,2006,69
1.0,,,,,,,,,,,,,,,2006,66
1.0,,,,1.0,1.0,,,,,,,,,,2007,78
1.0,,,,,,,,,,,,,,,2006,52
1.0,,,,,,,,,,,,,,,2007,68
1.0,,1.0,,,,,,,,,,,,,2005,76
,,,,,,1.0,,,,,,,,,2006,52
1.0,,,,1.0,1.0,,,,,,,,,,2007,2
1.0,,,,1.0,,,,,,,,,,,2007,61
1.0,,,,,,,,,,,,,,,2007,68
1.0,,,,1.0,,,,,,,,,,,2007,57
1.0,,,,,,,,,,,,,,,2006,57
1.0,1.0,,,,,,,,,,,,,,2007,53
,,,,,,,,,,,1.0,,,,2007,58
,,,,,,,,,,,1.0,,,,2007,56
1.0,,,,,,,,,,,,,,,2007,62
1.0,,,,,,,,,,,,,,,2007,58
1.0,,,,1.0,1.0,1.0,,,,,,,,,2007,64
,1.0,,,,,,,,,,,,,,2006,79
1.0,,,,1.0,,,,,,,,,,,2006,51
1.0,,,,1.0,,,,,,,,,,,2008,80
1.0,,,,,,,,,,,,,,,2008,73
1.0,,,,1.0,1.0,,,,,,,,,,2008,74
1.0,,,,,1.0,,,,,,,,,,2007,77
1.0,,,,1.0,1.0,,,,,,,,,,2007,74
1.0,,,,,1.0,,,,,,,,,,2008,71
1.0,,,,1.0,1.0,,,,,,,,,,2007,70
1.0,,,,,1.0,,,,,,,,,,2008,66
1.0,,,,1.0,1.0,,,,,,,,,,2008,75
1.0,,,,1.0,,,,,,,,,,,2007,70
1.0,,,,,,1.0,,,,,,,,,2007,65
1.0,,,,1.0,1.0,,,,,,,,,,2008,76
,,,,1.0,,,,,,,,,,,2011,1
1.0,,,,,,,,,,,,,,,2007,61
1.0,,,,1.0,,,,,,,,,,,2008,69
1.0,,,,,,,,,,,,,,,2008,63
,,,,1.0,,,,,,,,,,,2007,52
1.0,,,,,,,,,,,,,,,2009,71
1.0,,,,,,,,,,,,,,,2008,73
1.0,,,,1.0,1.0,,,,,,,,,,2008,77
1.0,,,,1.0,,,,,,,,,,,2007,56
1.0,,,,,,,,,,,,,,,2008,69
1.0,,,,,,,,,,,,,,,2008,76
1.0,,,,,,1.0,,,,,,,,,2008,65
1.0,,,,1.0,1.0,,,,,,,,,,2010,34
1.0,,,,1.0,,,,,,,,,,,2008,69
1.0,,,,,,,,,,,,,,,2008,57
1.0,,,,,1.0,,,,,,,,,,2008,72
1.0,,,,1.0,,,,,,,,,,,2007,46
1.0,,,,1.0,,,,,,,,,,,2007,74
1.0,,,,,,,,,,,,,,,2007,64
1.0,,,,1.0,,,,,,,,,,,2008,75
1.0,,,,,1.0,,,,,,,,,,2008,65
1.0,,,,1.0,,,,,,,,,,,2008,69
1.0,,,,1.0,1.0,,,,,,,,,,2008,61
1.0,,,,,,,,,,,,,,,2007,0
1.0,,,,,,,,,,,,,,,2008,65
1.0,,,,1.0,1.0,,,,,,,,,,2007,68
,1.0,,1.0,,,,,,,,,,,,2007,73
1.0,,,,,,,,,,,,,,,2008,51
1.0,,,,1.0,,1.0,,,,,,,,,2011,68
,,,,,1.0,,,,,,,,,,2008,56
,1.0,,,,,,,,,1.0,,,,,2007,56
1.0,,,,1.0,1.0,,,,,,,,,,2007,66
1.0,,,,,1.0,,,,,,,,,,2008,64
1.0,,,,1.0,1.0,,,,,,,,,,2008,65
1.0,,,,,,,,,,,,,,,2008,62
1.0,1.0,,1.0,,,,,,,,,,,,2008,78
,,,,1.0,,,,,,,,,,,2007,47
,,,,,1.0,,,,,,,,,,2008,78
,1.0,,1.0,,,,,,,,,,,,2008,69
,,,,,,1.0,,,,,,,,,2008,57
1.0,,,,1.0,,,,,,,,,,,2008,60
1.0,,,,,1.0,,,,,,,,,,2008,57
1.0,,,,,,,,,,,,,,,2008,76
,,,,1.0,,,,,,,,,,,2008,66
1.0,,,,1.0,,,,,,,,,,,2008,54
1.0,1.0,,,,,,,,,,,,,,2007,1
1.0,1.0,,1.0,,,,,,,,,,,,2008,56
1.0,,,,,,1.0,,,,,,,,,2007,47
1.0,,,,,1.0,,,,,,,,,,2008,0
,1.0,,,,,,,,,,,,,,2007,77
1.0,1.0,,,,,1.0,,,,,,,,,2007,55
1.0,,,,1.0,,,,,,,,,,,2008,58
,1.0,,,,,,,,1.0,1.0,,,,,2007,57
1.0,,,,1.0,1.0,,,,,,,,,,2007,62
,,,,1.0,,1.0,,,,,,,,,2008,59
1.0,,,,1.0,1.0,,,,,,,,,,2008,71
1.0,,,,,,1.0,,,,,,,,,2008,53
,,,,,,1.0,,,,,,,,,2008,55
1.0,1.0,,,,,1.0,,,,,,,,,2008,51
1.0,,,,1.0,1.0,,,,,,,,,,2008,61
1.0,,,,,1.0,,,,,,,,,,2008,70
1.0,,,,,1.0,,,,,,,,,,2007,62
1.0,1.0,,,,,,,,,,,,,,2007,67
1.0,,,,1.0,,,,,,,,,,,2008,74
1.0,,,,1.0,1.0,,,,,,,,,,2007,62
1.0,,,,,,,,,,,,,,,2007,59
1.0,,,,,,,,,,,,,,,2009,63
1.0,,,,,1.0,,,,,,,,,,2007,64
1.0,,,,,1.0,,,,,,,,,,2007,56
1.0,1.0,,,,,,,,,,,,,,2008,80
,1.0,,,,,,,,,,,,,,2008,80
,,,,1.0,,,,,,,,,,,2007,45
1.0,,,,,1.0,,,,,,,,,,2008,69
1.0,,,,,,,,,,,,,,,2008,67
1.0,,,,1.0,1.0,1.0,,,,,,,,,2007,58
1.0,,,,,,,1.0,,,,,,,,2008,51
1.0,,,,,1.0,,,,,,,,,,2007,54
1.0,1.0,,,,,,,,,,,,,,2008,63
1.0,,,,1.0,1.0,,,,,,,,,,2008,1
1.0,,,,,1.0,,,1.0,,,,,,,2008,60
1.0,,,,,1.0,,,,,,,,,,2008,55
1.0,,,,,,,,,,,,,,,2008,68
1.0,,,,1.0,,,,,,,,,,,2007,64
1.0,,,,1.0,1.0,,,,,,,,,,2008,74
1.0,,,,,1.0,,,,,,,,,,2008,1
1.0,,,,,1.0,,,,,,,,,,2007,67
1.0,,,,,1.0,,,,,,,,,,2006,58
1.0,,,,1.0,1.0,,,,,,,,,,2008,0
1.0,,,,1.0,,,,,,,,,,,2009,80
1.0,,,,,,,,,,,,,,,2008,77
1.0,,,,,1.0,,,,,,,,,,2008,74
1.0,,,,1.0,,1.0,,,,,,,,,2010,75
1.0,,,,1.0,,,,,,,,,,,2009,74
1.0,,,,,,,,,,,,,,,2008,74
1.0,,,,1.0,,,,,1.0,,,,,,2009,63
1.0,,,,,,,,,,,,,,,2008,74
1.0,,,,,,,,,,,,,,,2008,69
1.0,1.0,,1.0,,,,,,,,,,,,2009,75
1.0,1.0,,,,,1.0,,,,,,,,,2009,57
1.0,,,,1.0,,,,,,,,,,,2009,72
,,,,1.0,,,,,,,,,,,2008,82
,,,,1.0,,,,,,,,,,,2009,72
1.0,,,,,,,,,,,,,,,2008,76
1.0,,,,,,,,,,,,,,,2008,69
1.0,,,,1.0,,,,,1.0,,,,,,2009,59
1.0,,,,,1.0,,,,,,,,,,2009,66
1.0,,,,,1.0,,,,,,,,,,2008,48
1.0,,,,,,1.0,,,,,,,,,2009,65
1.0,,,,1.0,,,,,,,,,,,2009,68
1.0,,,,,,,,,1.0,,,,,,2009,68
1.0,,,,,,,,,,,,,,,2008,70
,,,,1.0,,,,,,,,,,,2009,82
1.0,,,,,,,,,,,,,,,2009,65
1.0,,,,1.0,1.0,,,,,,,,,,2009,67
1.0,,,,1.0,,1.0,,,,,,,,,2009,63
,1.0,,1.0,,,,,,,,,,,,2009,68
1.0,,,,1.0,,,,,,,,,,,2008,66
,,,,1.0,,,,,,,,,,,2009,75
1.0,,,,,,,,,,,,,,,2009,80
1.0,,,,1.0,,,,,,,,,,,2008,75
,,,,1.0,,,,,,,,,,,2009,63
1.0,,,,1.0,,1.0,,,,,,,,,2011,38
1.0,,,,,1.0,,,,,,,,,,2009,58
1.0,,,,1.0,1.0,,,,,,,,,,2009,64
1.0,,,,1.0,,,,,,,,,,,2008,59
,1.0,,,,,,,,,,,,,,2009,2
1.0,,,,1.0,1.0,,,,,,,,,,2009,3
1.0,,,,,1.0,,,,,,,,,,2008,41
1.0,,,,1.0,,1.0,,,,,,,,,2010,69
1.0,,,,,,1.0,,,,,,,,,2009,65
1.0,,,,1.0,,,,,,,,,,,2008,76
,,,,1.0,,,,,,,,,,,2009,70
1.0,,,,,,,,,,,,,,,2010,46
1.0,,,,,,1.0,,,,,,,,,2009,59
1.0,,,,,,1.0,,,,,,,,,2009,54
1.0,,,,,,,,,,,,,,,2009,0
1.0,1.0,,,1.0,,,,,,,,,,,2008,70
,,,,,,,,,,,1.0,,,,2009,65
1.0,,,,,1.0,,,,,,,,,,2008,64
1.0,,,,,,,,,,,,,,,2008,65
1.0,,,,,,,,,,,,,,,2009,57
1.0,,,,,1.0,,,,,,,,,,2009,51
1.0,,,,1.0,1.0,,,,,,,,,,2009,73
1.0,,,,,,1.0,,,,,,,,,2009,63
,,,,1.0,,,,,,,,,,,2008,66
1.0,,,,,,1.0,,,,,,,,,2005,58
1.0,,,,1.0,1.0,,,,,,,,,,2009,59
1.0,,,,1.0,,,,,,,,,,,2010,70
1.0,,,,,,,,,,,,,,,2009,54
1.0,,,,1.0,,,,,,,,,,,2008,68
1.0,,,,1.0,1.0,,,,,,,,,,2009,71
1.0,1.0,,,,,1.0,,,,,,,,,2008,77
1.0,,,,,,1.0,,,,,,,,,2009,65
,1.0,,1.0,,,,,,,,,,,,2008,66
1.0,,,,,,1.0,,,,,,,,,2009,71
,1.0,,,,,,,,,,,,,,2009,64
1.0,,,,1.0,,1.0,,,,,,,,,2009,55
1.0,,,,,,,,,,,,,,,2009,71
1.0,,,,1.0,1.0,,,,,,,,,,2008,65
1.0,,,,,,1.0,,,,,,,,,2009,59
,1.0,,,,,,,,,,,,,,2009,75
,1.0,,1.0,,,,,,,,,,,,2008,62
1.0,,,,,1.0,,,,,,,,,,2008,70
1.0,,,,1.0,,,,,,,,,,,2008,74
1.0,,,,1.0,,1.0,,,,,,,,,2011,60
1.0,,,,,1.0,,,,,,,,,,2008,67
1.0,,,,,,,,,,,,,,,2009,64
1.0,,,,1.0,1.0,,,,,,,,,,2009,62
1.0,,,,,,,,,,,,,,,2009,74
1.0,,,,,,,,,,,,,,,2013,39
,,1.0,,,,,,,,,,,,,2009,50
1.0,,,,,,,,,,,,,,,2009,67
1.0,,,,,,,,,,,,,,,2009,53
,1.0,,,,,,,,,,,,,,2008,80
1.0,,,,1.0,1.0,,,,,,,,,,2010,54
1.0,,,,,1.0,,,,,,,,,,2009,56
1.0,,,,,,,,,,,,,,,2009,79
1.0,,,,,1.0,,,,,,,,,,2009,57
1.0,,,,,1.0,,,,,,,,,,2008,64
,1.0,,,,,,,,,,,,,,2009,73
1.0,,,,,1.0,,,,,,,,,,2009,57
1.0,,,,,,,,,,,,,,,2008,55
,1.0,,1.0,,,,,,,,,,,,2008,67
1.0,,,,1.0,,,,,,,,,,,2009,62
1.0,,,,,,,,,,,,,,,2008,49
1.0,,,,,1.0,,,,,,,,,,2009,68
1.0,1.0,,,,,,1.0,,,,,,,,2009,68
1.0,,,,,,,,,,,,,,,2009,73
1.0,,,,,,,,,,,,,,,2010,77
,,,,1.0,,,,,,,,,,,2010,81
1.0,,,,,,,,,,,,,,,2009,80
1.0,,,,,,,,,,,,,,,2010,77
1.0,,,,,,1.0,,,,,,,,,2010,80
1.0,,,,1.0,,1.0,,,,,,,,,2010,76
1.0,,,,1.0,,,,,,,,,,,2010,80
1.0,,,,1.0,1.0,,,,,,,,,,2010,73
1.0,,,,,,,,,,,,,,,2012,72
1.0,,,,,,1.0,,,,,,,,,2010,68
1.0,,,,,,,,,,,,,,,2010,42
1.0,,,,1.0,,,,,,,,,,,2010,73
1.0,,,,1.0,,1.0,,,,,,,,,2010,62
,,,,,,1.0,,,,,,,,,2010,46
,,,,,,,,,1.0,,,,,,2011,0
1.0,,,,1.0,1.0,,,,,,,,,,2009,67
1.0,,,,1.0,1.0,,,,,,,,,,2009,69
1.0,,,,,,1.0,,,,,,,,,2010,63
1.0,,,,,,,,,,,,,,,2010,66
1.0,,,,1.0,,,,,,,,,,,2010,74
1.0,,,,1.0,,,,,,,,,,,2009,61
,,,,,,1.0,,,,,,,,,2009,47
,,,,1.0,,,,,,,,,,,2010,79
1.0,,,,,,,,,,,,,,,2009,67
1.0,,,,1.0,1.0,,,,,,,,,,2009,74
1.0,,,,,1.0,,,,,,,,,,2010,57
1.0,1.0,,,1.0,,,,,,,,,,,2010,32
1.0,,,,1.0,,,,,,,,,,,2010,69
1.0,,,,1.0,1.0,,,,,,,,,,2011,59
1.0,,,,,,1.0,,,,,,,,,2010,63
1.0,,,,1.0,1.0,,,,,,,,,,2011,68
1.0,,,,1.0,1.0,,,,,,,,,,2010,79
1.0,,,,1.0,,,,,,,,,,,2009,75
1.0,,,,1.0,,,,,,,,,,,2010,76
1.0,,,,1.0,1.0,,,,,,,,,,2010,74
1.0,,,,1.0,,,,,,,,,,,2010,58
1.0,,,,1.0,,1.0,,,,,,,,,2010,57
1.0,,,,,,,,,,,,,,,2010,76
1.0,,,,,,,,,,,,,,,2010,0
1.0,,,,1.0,,1.0,,,,,,,,,2010,75
1.0,,,,,,,,,,,,,,,2009,69
,,,,,,1.0,,,,,,,,,2010,1
1.0,,,,1.0,1.0,,,,,,,,,,2009,55
1.0,,,,1.0,,1.0,,,,,,,,,2010,53
1.0,,,,,,,,,,,,,,,2009,57
1.0,,,,1.0,1.0,,,,,,,,,,2010,0
1.0,,,,1.0,1.0,,,,,,,,,,2009,68
1.0,,,,,,,,,1.0,,,,,,2010,63
1.0,,,,,,1.0,,,,,,,,,2010,0
1.0,,,,1.0,1.0,,,,,,,,,,2010,73
1.0,,,,,,,,,,,,,,,2010,67
1.0,,,,1.0,1.0,,,,,,,,,,2009,3
1.0,,,,1.0,1.0,,,,,,,,,,2010,68
1.0,1.0,,,1.0,,,,,,,,,,,2010,62
1.0,,,,,,,,,,,,,,,2010,81
1.0,,,,1.0,,,,,,,,,,,2011,66
1.0,,,,,,1.0,,,,,,,,,2010,54
,,,,,,,,,,,1.0,,,,2009,57
1.0,,,,1.0,,,,,,,,,,,2010,63
1.0,,,,,,1.0,,,,,,,,,2010,61
1.0,,,,1.0,,,,,,,,,,,2010,51
1.0,,,,1.0,,,,,,,,,,,2010,65
,,,,,1.0,,,,,,,,,,2010,1
1.0,,,,1.0,,,,,,,,,,,2010,74
1.0,,,,1.0,,,,,,,,,,,2010,68
1.0,,,,1.0,1.0,,,,,,,,,,2010,73
1.0,,,,1.0,1.0,,,,,,,,,,2010,66
1.0,,,,,1.0,,,,,,,,,,2010,35
1.0,,,,,,,,,,,,,,,2010,57
1.0,,,,1.0,1.0,,,,,,,,,,2009,54
1.0,,,,1.0,,,,,,,,,,,2010,70
1.0,,,,1.0,1.0,,,,,,,,,,2010,57
