,popularity,year,variable,value
278,58,2001,pop,1.0
279,67,2002,pop,1.0
282,65,2002,pop,1.0
283,50,2001,pop,1.0
284,64,2001,pop,1.0
285,57,2002,pop,1.0
286,59,2001,pop,1.0
287,47,2015,pop,1.0
288,56,2002,pop,1.0
290,60,2001,pop,1.0
292,40,2001,pop,1.0
293,60,2001,pop,1.0
294,58,2002,pop,1.0
295,56,2001,pop,1.0
297,72,2002,pop,1.0
298,51,2001,pop,1.0
299,60,2001,pop,1.0
300,81,2003,pop,1.0
301,74,2002,pop,1.0
303,76,2003,pop,1.0
304,50,2003,pop,1.0
305,68,2003,pop,1.0
306,70,2002,pop,1.0
307,56,2003,pop,1.0
308,39,2020,pop,1.0
309,66,2003,pop,1.0
310,68,2002,pop,1.0
312,59,2004,pop,1.0
314,76,2003,pop,1.0
315,69,2003,pop,1.0
317,70,2007,pop,1.0
319,57,2003,pop,1.0
320,59,2002,pop,1.0
322,47,2002,pop,1.0
323,62,2003,pop,1.0
324,73,2003,pop,1.0
325,36,2002,pop,1.0
326,59,2003,pop,1.0
327,57,2004,pop,1.0
328,54,2003,pop,1.0
329,76,2002,pop,1.0
331,54,2003,pop,1.0
332,63,2003,pop,1.0
333,47,2019,pop,1.0
334,61,2002,pop,1.0
336,48,2003,pop,1.0
337,50,2003,pop,1.0
339,58,2008,pop,1.0
340,61,2003,pop,1.0
341,58,2003,pop,1.0
342,52,2016,pop,1.0
346,58,2003,pop,1.0
347,57,2003,pop,1.0
348,67,2003,pop,1.0
349,69,2003,pop,1.0
351,48,2003,pop,1.0
352,48,2003,pop,1.0
353,72,2003,pop,1.0
354,61,2002,pop,1.0
355,57,2002,pop,1.0
356,60,2003,pop,1.0
357,59,2003,pop,1.0
358,67,2002,pop,1.0
359,49,2003,pop,1.0
360,67,2005,pop,1.0
361,57,2002,pop,1.0
362,59,2003,pop,1.0
364,38,2003,pop,1.0
365,57,2003,pop,1.0
367,67,2002,pop,1.0
368,60,2002,pop,1.0
369,73,2002,pop,1.0
370,57,2003,pop,1.0
371,60,2003,pop,1.0
372,48,2003,pop,1.0
374,79,2002,pop,1.0
375,54,2002,pop,1.0
376,70,2002,pop,1.0
377,65,2003,pop,1.0
378,67,2002,pop,1.0
380,61,2002,pop,1.0
381,55,2002,pop,1.0
382,60,2002,pop,1.0
383,64,2003,pop,1.0
384,44,2003,pop,1.0
386,61,2003,pop,1.0
387,61,2003,pop,1.0
388,47,2003,pop,1.0
389,61,2002,pop,1.0
390,63,2002,pop,1.0
391,66,2003,pop,1.0
392,67,2003,pop,1.0
393,61,2003,pop,1.0
394,58,2002,pop,1.0
398,70,2002,pop,1.0
399,55,2003,pop,1.0
400,81,2004,pop,1.0
401,77,2002,pop,1.0
402,81,2003,pop,1.0
403,80,2003,pop,1.0
404,79,2003,pop,1.0
405,65,2004,pop,1.0
407,53,2004,pop,1.0
408,56,2004,pop,1.0
410,56,1999,pop,1.0
411,60,2004,pop,1.0
412,56,2004,pop,1.0
414,59,2004,pop,1.0
415,63,2003,pop,1.0
417,61,2004,pop,1.0
418,16,2004,pop,1.0
419,73,2004,pop,1.0
420,42,2004,pop,1.0
421,66,2016,pop,1.0
422,61,2004,pop,1.0
423,72,2004,pop,1.0
424,67,2004,pop,1.0
425,63,2003,pop,1.0
426,56,2004,pop,1.0
429,53,2004,pop,1.0
430,67,2004,pop,1.0
431,73,2003,pop,1.0
432,56,2003,pop,1.0
434,70,2004,pop,1.0
435,61,2004,pop,1.0
436,33,2004,pop,1.0
437,49,2003,pop,1.0
438,61,2003,pop,1.0
439,37,2003,pop,1.0
440,68,2003,pop,1.0
442,49,2005,pop,1.0
443,45,2004,pop,1.0
444,56,2003,pop,1.0
446,58,2003,pop,1.0
447,39,2004,pop,1.0
448,68,2002,pop,1.0
450,57,2004,pop,1.0
451,0,2003,pop,1.0
453,61,2003,pop,1.0
454,63,2004,pop,1.0
456,47,2004,pop,1.0
457,66,2004,pop,1.0
459,63,2003,pop,1.0
462,59,2001,pop,1.0
463,61,2003,pop,1.0
464,42,2004,pop,1.0
467,57,2004,pop,1.0
469,60,2003,pop,1.0
470,58,2004,pop,1.0
471,72,2004,pop,1.0
473,57,2003,pop,1.0
