,popularity,year,variable,value
1212,69,2012,pop,1.0
1213,77,2012,pop,1.0
1214,62,2013,pop,1.0
1215,66,2012,pop,1.0
1216,64,2012,pop,1.0
1218,78,2012,pop,1.0
1220,58,2012,pop,1.0
1221,67,2011,pop,1.0
1222,72,2012,pop,1.0
1223,78,2012,pop,1.0
1224,66,2012,pop,1.0
1225,0,2012,pop,1.0
1227,85,2012,pop,1.0
1228,77,2011,pop,1.0
1229,76,2012,pop,1.0
1230,75,2012,pop,1.0
1231,62,2012,pop,1.0
1232,73,2012,pop,1.0
1233,75,2012,pop,1.0
1235,0,2012,pop,1.0
1236,68,2011,pop,1.0
1237,0,2014,pop,1.0
1238,82,2012,pop,1.0
1239,75,2013,pop,1.0
1241,0,2012,pop,1.0
1242,51,2012,pop,1.0
1243,61,2012,pop,1.0
1244,79,2012,pop,1.0
1245,0,2012,pop,1.0
1246,0,2012,pop,1.0
1247,0,2011,pop,1.0
1248,82,2011,pop,1.0
1249,64,2012,pop,1.0
1250,64,2012,pop,1.0
1251,66,2012,pop,1.0
1252,78,2012,pop,1.0
1253,76,2012,pop,1.0
1254,50,2012,pop,1.0
1255,63,2012,pop,1.0
1256,79,2012,pop,1.0
1257,74,2011,pop,1.0
1258,59,2012,pop,1.0
1259,61,2012,pop,1.0
1260,76,2012,pop,1.0
1261,68,2012,pop,1.0
1262,77,2011,pop,1.0
1263,67,2012,pop,1.0
1264,46,2012,pop,1.0
1266,58,2012,pop,1.0
1267,0,2012,pop,1.0
1268,0,2012,pop,1.0
1269,72,2012,pop,1.0
1270,53,2012,pop,1.0
1272,77,2012,pop,1.0
1273,82,2012,pop,1.0
1274,53,2012,pop,1.0
1275,0,2012,pop,1.0
1276,77,2012,pop,1.0
1277,62,2012,pop,1.0
1278,65,2012,pop,1.0
1279,63,2010,pop,1.0
1280,77,2012,pop,1.0
1281,74,2013,pop,1.0
1282,66,2011,pop,1.0
1283,0,2012,pop,1.0
1284,61,2011,pop,1.0
1285,63,2012,pop,1.0
1287,62,2012,pop,1.0
1288,74,2011,pop,1.0
1289,74,2011,pop,1.0
1290,65,2012,pop,1.0
1291,48,2012,pop,1.0
1292,64,2013,pop,1.0
1293,66,2012,pop,1.0
1294,69,2012,pop,1.0
1295,71,2011,pop,1.0
1296,75,2011,pop,1.0
1297,0,2012,pop,1.0
1298,74,2011,pop,1.0
1299,67,2011,pop,1.0
1300,77,2013,pop,1.0
1301,55,2013,pop,1.0
1303,6,2013,pop,1.0
1304,85,2012,pop,1.0
1305,1,2012,pop,1.0
1307,78,2013,pop,1.0
1308,0,2013,pop,1.0
1309,1,2013,pop,1.0
1311,88,2013,pop,1.0
1312,69,2013,pop,1.0
1313,69,2012,pop,1.0
1314,77,2012,pop,1.0
1315,68,2013,pop,1.0
1316,68,2013,pop,1.0
1317,81,2012,pop,1.0
1318,0,2013,pop,1.0
1319,56,2013,pop,1.0
1321,0,2013,pop,1.0
1322,89,2013,pop,1.0
1323,68,2013,pop,1.0
1324,0,2013,pop,1.0
1325,79,2013,pop,1.0
1327,73,2012,pop,1.0
1329,64,2012,pop,1.0
1330,69,2013,pop,1.0
1331,71,2012,pop,1.0
1332,54,2013,pop,1.0
1333,60,2012,pop,1.0
1335,72,2013,pop,1.0
1337,68,2013,pop,1.0
1339,0,2013,pop,1.0
1340,68,2012,pop,1.0
1342,66,2013,pop,1.0
1343,76,2012,pop,1.0
1345,66,2013,pop,1.0
1346,68,2014,pop,1.0
1347,61,2012,pop,1.0
1349,76,2012,pop,1.0
1351,70,2014,pop,1.0
1353,70,2012,pop,1.0
1354,60,2013,pop,1.0
1355,2,2011,pop,1.0
1356,27,2013,pop,1.0
1357,50,2013,pop,1.0
1359,71,2012,pop,1.0
1360,0,2013,pop,1.0
1361,61,2013,pop,1.0
1362,64,2013,pop,1.0
1363,65,2013,pop,1.0
1364,48,2013,pop,1.0
1365,61,2013,pop,1.0
1366,59,2012,pop,1.0
1367,73,2013,pop,1.0
1369,65,2012,pop,1.0
1371,72,2012,pop,1.0
1372,61,2013,pop,1.0
1373,74,2013,pop,1.0
1374,76,2013,pop,1.0
1375,57,2013,pop,1.0
1376,0,2012,pop,1.0
1377,77,2013,pop,1.0
1378,0,2013,pop,1.0
1380,66,2013,pop,1.0
1381,78,2013,pop,1.0
1382,78,2012,pop,1.0
1383,79,2012,pop,1.0
1384,78,2013,pop,1.0
1386,79,2013,pop,1.0
1387,59,2013,pop,1.0
1388,72,2013,pop,1.0
1389,0,2013,pop,1.0
1390,66,2012,pop,1.0
1392,0,2013,pop,1.0
1393,68,2012,pop,1.0
1394,73,2012,pop,1.0
1395,65,2013,pop,1.0
1396,76,2012,pop,1.0
1397,67,2013,pop,1.0
1398,83,2012,pop,1.0
1400,79,2014,pop,1.0
1401,74,2013,pop,1.0
1402,0,2014,pop,1.0
1403,69,2014,pop,1.0
1404,79,2014,pop,1.0
1405,80,2014,pop,1.0
1407,78,2014,pop,1.0
1408,84,2013,pop,1.0
1410,72,2015,pop,1.0
1411,50,2014,pop,1.0
1412,67,2014,pop,1.0
1413,74,2014,pop,1.0
1414,67,2014,pop,1.0
1415,69,2014,pop,1.0
1416,56,2013,pop,1.0
1417,0,2014,pop,1.0
1418,45,2014,pop,1.0
1419,71,2014,pop,1.0
1420,72,2014,pop,1.0
1421,54,2014,pop,1.0
1422,62,2015,pop,1.0
1423,72,2014,pop,1.0
1424,61,2014,pop,1.0
1425,66,2013,pop,1.0
1426,66,2014,pop,1.0
1427,74,2015,pop,1.0
1428,66,2014,pop,1.0
1429,75,2014,pop,1.0
1430,70,2013,pop,1.0
1431,80,2012,pop,1.0
1432,62,2014,pop,1.0
1433,73,2014,pop,1.0
1434,21,2014,pop,1.0
1435,0,2014,pop,1.0
1436,76,2014,pop,1.0
1437,78,2014,pop,1.0
1438,62,2014,pop,1.0
1439,0,2014,pop,1.0
1440,76,2013,pop,1.0
1441,77,2014,pop,1.0
1442,50,2013,pop,1.0
1444,80,2014,pop,1.0
1445,64,2014,pop,1.0
1446,70,2014,pop,1.0
1447,0,2014,pop,1.0
1448,68,2014,pop,1.0
1449,66,2014,pop,1.0
1450,72,2014,pop,1.0
1451,59,2014,pop,1.0
1452,0,2014,pop,1.0
1455,72,2014,pop,1.0
1456,74,2014,pop,1.0
1457,66,2014,pop,1.0
1458,2,2013,pop,1.0
1459,77,2014,pop,1.0
1460,67,2014,pop,1.0
1461,61,2014,pop,1.0
1462,61,2014,pop,1.0
1463,82,2012,pop,1.0
1464,74,2013,pop,1.0
1465,73,2014,pop,1.0
1466,49,2014,pop,1.0
1467,79,2014,pop,1.0
1468,0,2013,pop,1.0
1469,58,2014,pop,1.0
1470,65,2014,pop,1.0
1471,74,2014,pop,1.0
1472,74,2014,pop,1.0
1473,79,2014,pop,1.0
1474,83,2014,pop,1.0
1475,69,2014,pop,1.0
1476,52,2014,pop,1.0
1477,0,2014,pop,1.0
1478,64,2014,pop,1.0
1479,80,2014,pop,1.0
1480,72,2014,pop,1.0
1481,63,2014,pop,1.0
1482,70,2014,pop,1.0
1483,81,2013,pop,1.0
1484,75,2014,pop,1.0
1485,55,2014,pop,1.0
1486,71,2013,pop,1.0
1488,80,2014,pop,1.0
1489,70,2014,pop,1.0
1490,0,2014,pop,1.0
1491,63,2014,pop,1.0
1492,71,2013,pop,1.0
1493,67,2014,pop,1.0
1494,0,2014,pop,1.0
1495,0,2014,pop,1.0
1496,62,2014,pop,1.0
1497,53,2013,pop,1.0
1498,53,2014,pop,1.0
1499,0,2014,pop,1.0
1500,82,2015,pop,1.0
1501,81,2014,pop,1.0
1502,81,2015,pop,1.0
1503,77,2015,pop,1.0
1504,73,2015,pop,1.0
1505,76,2014,pop,1.0
1506,78,2015,pop,1.0
1507,78,2014,pop,1.0
1508,75,2014,pop,1.0
1509,0,2015,pop,1.0
1510,82,2014,pop,1.0
1511,84,2015,pop,1.0
1512,85,2015,pop,1.0
1513,66,2015,pop,1.0
1514,85,2014,pop,1.0
1515,69,2014,pop,1.0
1516,46,2015,pop,1.0
1517,71,2015,pop,1.0
1518,70,2015,pop,1.0
1519,49,2015,pop,1.0
1520,76,2015,pop,1.0
1521,76,2015,pop,1.0
1522,65,2014,pop,1.0
1523,62,2015,pop,1.0
1526,33,2014,pop,1.0
1528,73,2015,pop,1.0
1530,79,2014,pop,1.0
1531,49,2015,pop,1.0
1532,48,2015,pop,1.0
1533,79,2015,pop,1.0
1534,72,2018,pop,1.0
1535,78,2014,pop,1.0
1536,0,2015,pop,1.0
1537,80,2014,pop,1.0
1538,74,2015,pop,1.0
1539,73,2015,pop,1.0
1540,0,2015,pop,1.0
1541,79,2015,pop,1.0
1543,0,2015,pop,1.0
1544,64,2015,pop,1.0
1545,59,2017,pop,1.0
1546,69,2015,pop,1.0
1547,72,2015,pop,1.0
1548,76,2015,pop,1.0
1550,71,2015,pop,1.0
1551,71,2016,pop,1.0
1552,68,2015,pop,1.0
1553,66,2014,pop,1.0
1554,69,2014,pop,1.0
1555,67,2015,pop,1.0
1556,73,2017,pop,1.0
1557,77,2015,pop,1.0
1558,77,2016,pop,1.0
1559,64,2015,pop,1.0
1560,68,2015,pop,1.0
1561,74,2015,pop,1.0
1562,74,2014,pop,1.0
1563,79,2015,pop,1.0
1564,55,2015,pop,1.0
1565,75,2015,pop,1.0
1566,77,2015,pop,1.0
1567,74,2016,pop,1.0
1569,0,2015,pop,1.0
1570,55,2015,pop,1.0
1571,81,2014,pop,1.0
1572,77,2014,pop,1.0
1573,0,2015,pop,1.0
1574,66,2015,pop,1.0
1575,47,2015,pop,1.0
1576,68,2015,pop,1.0
1577,75,2015,pop,1.0
1578,76,2016,pop,1.0
1579,0,2015,pop,1.0
1581,78,2015,pop,1.0
1582,67,2015,pop,1.0
1583,64,2014,pop,1.0
1584,74,2015,pop,1.0
1585,0,2015,pop,1.0
1586,78,2015,pop,1.0
1587,1,2015,pop,1.0
1589,0,2015,pop,1.0
1590,67,2015,pop,1.0
1591,0,2015,pop,1.0
1592,66,2018,pop,1.0
1593,80,2015,pop,1.0
1594,79,2014,pop,1.0
1595,1,2015,pop,1.0
1596,77,2015,pop,1.0
1597,55,2015,pop,1.0
1598,70,2015,pop,1.0
1600,0,2016,pop,1.0
1601,84,2016,pop,1.0
1602,0,2015,pop,1.0
1603,83,2016,pop,1.0
1604,1,2015,pop,1.0
1605,70,2016,pop,1.0
1607,67,2016,pop,1.0
1608,70,2016,pop,1.0
1609,75,2016,pop,1.0
1610,82,2015,pop,1.0
1611,80,2015,pop,1.0
1612,76,2016,pop,1.0
1613,86,2015,pop,1.0
1614,67,2016,pop,1.0
1615,77,2015,pop,1.0
1616,68,2016,pop,1.0
1617,0,2016,pop,1.0
1618,75,2016,pop,1.0
1620,74,2016,pop,1.0
1621,67,2016,pop,1.0
1622,79,2016,pop,1.0
1623,62,2016,pop,1.0
1624,51,2016,pop,1.0
1625,70,2016,pop,1.0
1626,0,2016,pop,1.0
1627,69,2017,pop,1.0
1628,65,2017,pop,1.0
1629,76,2016,pop,1.0
1631,0,2016,pop,1.0
1632,81,2016,pop,1.0
1633,79,2016,pop,1.0
1634,77,2016,pop,1.0
1635,69,2016,pop,1.0
1636,80,2016,pop,1.0
1637,0,2016,pop,1.0
1638,71,2016,pop,1.0
1639,73,2015,pop,1.0
1640,69,2015,pop,1.0
1641,74,2016,pop,1.0
1642,64,2016,pop,1.0
1644,76,2015,pop,1.0
1645,0,2016,pop,1.0
1646,57,2016,pop,1.0
1647,79,2016,pop,1.0
1648,0,2016,pop,1.0
1649,68,2016,pop,1.0
1651,70,2016,pop,1.0
1652,0,2016,pop,1.0
1653,3,2016,pop,1.0
1654,82,2017,pop,1.0
1655,73,2016,pop,1.0
1656,76,2015,pop,1.0
1657,0,2016,pop,1.0
1658,69,2016,pop,1.0
1659,75,2015,pop,1.0
1660,79,2016,pop,1.0
1662,51,2016,pop,1.0
1663,55,2015,pop,1.0
1664,0,2016,pop,1.0
1665,75,2016,pop,1.0
1666,63,2016,pop,1.0
1667,59,2016,pop,1.0
1668,66,2016,pop,1.0
1669,0,2016,pop,1.0
1670,46,2015,pop,1.0
1671,72,2015,pop,1.0
1672,62,2016,pop,1.0
1673,69,2016,pop,1.0
1674,0,2016,pop,1.0
1675,0,2016,pop,1.0
1676,73,2015,pop,1.0
1677,0,2016,pop,1.0
1678,68,2016,pop,1.0
1679,78,2015,pop,1.0
1680,63,2016,pop,1.0
1681,60,2016,pop,1.0
1682,1,2015,pop,1.0
1684,65,2016,pop,1.0
1685,68,2016,pop,1.0
1686,62,2016,pop,1.0
1687,77,2016,pop,1.0
1688,63,2016,pop,1.0
1689,62,2016,pop,1.0
1690,1,2016,pop,1.0
1693,76,2015,pop,1.0
1694,66,2016,pop,1.0
1695,67,2016,pop,1.0
1696,1,2017,pop,1.0
1697,0,2016,pop,1.0
1698,79,2016,pop,1.0
1699,74,2016,pop,1.0
1700,84,2017,pop,1.0
1701,84,2018,pop,1.0
1702,0,2017,pop,1.0
1703,79,2017,pop,1.0
1704,75,2016,pop,1.0
1705,1,2017,pop,1.0
1707,68,2018,pop,1.0
1708,83,2017,pop,1.0
1709,85,2017,pop,1.0
1712,84,2017,pop,1.0
1713,79,2017,pop,1.0
1714,0,2017,pop,1.0
1715,0,2017,pop,1.0
1716,75,2016,pop,1.0
1718,74,2017,pop,1.0
1719,82,2017,pop,1.0
1721,0,2017,pop,1.0
1722,77,2017,pop,1.0
1724,1,2016,pop,1.0
1725,75,2016,pop,1.0
1726,67,2017,pop,1.0
1728,69,2017,pop,1.0
1732,75,2017,pop,1.0
1733,0,2017,pop,1.0
1735,80,2017,pop,1.0
1736,58,2017,pop,1.0
1738,74,2017,pop,1.0
1740,69,2017,pop,1.0
1741,0,2017,pop,1.0
1742,62,2017,pop,1.0
1743,57,2017,pop,1.0
1745,4,2017,pop,1.0
1747,76,2017,pop,1.0
1748,70,2017,pop,1.0
1753,72,2017,pop,1.0
1754,67,2017,pop,1.0
1755,77,2017,pop,1.0
1756,51,2017,pop,1.0
1757,0,2016,pop,1.0
1758,73,2017,pop,1.0
1759,67,2017,pop,1.0
1760,68,2017,pop,1.0
1761,0,2017,pop,1.0
1762,63,2017,pop,1.0
1763,73,2017,pop,1.0
1764,61,2017,pop,1.0
1765,59,2017,pop,1.0
1767,57,2017,pop,1.0
1768,72,2017,pop,1.0
1770,77,2017,pop,1.0
1771,0,2017,pop,1.0
1772,69,2017,pop,1.0
1774,79,2017,pop,1.0
1775,64,2017,pop,1.0
1776,64,2017,pop,1.0
1777,61,2017,pop,1.0
1778,74,2017,pop,1.0
1779,47,2019,pop,1.0
1780,1,2017,pop,1.0
1781,0,2017,pop,1.0
1782,0,2017,pop,1.0
1783,0,2016,pop,1.0
1784,76,2016,pop,1.0
1785,71,2017,pop,1.0
1786,48,2016,pop,1.0
1788,0,2017,pop,1.0
1789,0,2017,pop,1.0
1790,61,2017,pop,1.0
1791,78,2016,pop,1.0
1792,73,2017,pop,1.0
1793,71,2017,pop,1.0
1794,0,2017,pop,1.0
1795,53,2017,pop,1.0
1796,68,2017,pop,1.0
1797,78,2016,pop,1.0
1798,8,2017,pop,1.0
1799,75,2017,pop,1.0
1800,81,2018,pop,1.0
1802,80,2017,pop,1.0
1803,75,2017,pop,1.0
1804,78,2018,pop,1.0
1806,80,2018,pop,1.0
1807,78,2018,pop,1.0
1808,79,2018,pop,1.0
1810,77,2018,pop,1.0
1812,81,2018,pop,1.0
1813,73,2018,pop,1.0
1816,76,2018,pop,1.0
1817,71,2018,pop,1.0
1818,69,2018,pop,1.0
1819,86,2018,pop,1.0
1820,75,2018,pop,1.0
1821,71,2018,pop,1.0
1822,77,2018,pop,1.0
1824,80,2018,pop,1.0
1826,72,2018,pop,1.0
1829,69,2018,pop,1.0
1830,71,2017,pop,1.0
1832,58,2017,pop,1.0
1833,69,2018,pop,1.0
1834,71,2018,pop,1.0
1835,72,2018,pop,1.0
1837,69,2018,pop,1.0
1838,64,2017,pop,1.0
1839,78,2018,pop,1.0
1840,66,2018,pop,1.0
1842,74,2017,pop,1.0
1843,82,2018,pop,1.0
1844,78,2017,pop,1.0
1845,72,2018,pop,1.0
1846,70,2017,pop,1.0
1847,65,2018,pop,1.0
1848,80,2017,pop,1.0
1849,69,2018,pop,1.0
1850,0,2017,pop,1.0
1851,62,2018,pop,1.0
1852,79,2017,pop,1.0
1855,72,2018,pop,1.0
1857,70,2018,pop,1.0
1858,59,2018,pop,1.0
1860,72,2018,pop,1.0
1862,73,2018,pop,1.0
1864,82,2018,pop,1.0
1865,79,2018,pop,1.0
1866,67,2018,pop,1.0
1867,72,2018,pop,1.0
1868,68,2018,pop,1.0
1869,75,2018,pop,1.0
1871,64,2018,pop,1.0
1872,1,2018,pop,1.0
1873,75,2018,pop,1.0
1874,62,2017,pop,1.0
1875,65,2017,pop,1.0
1876,63,2017,pop,1.0
1878,72,2018,pop,1.0
1880,67,2018,pop,1.0
1881,80,2018,pop,1.0
1882,74,2017,pop,1.0
1883,71,2018,pop,1.0
1885,72,2017,pop,1.0
1886,68,2018,pop,1.0
1887,74,2018,pop,1.0
1888,54,2018,pop,1.0
1889,78,2017,pop,1.0
1890,56,2018,pop,1.0
1891,75,2018,pop,1.0
1892,70,2018,pop,1.0
1893,81,2018,pop,1.0
1894,73,2018,pop,1.0
1895,73,2018,pop,1.0
1896,73,2018,pop,1.0
1897,77,2018,pop,1.0
1900,79,2019,pop,1.0
1901,83,2019,pop,1.0
1902,78,2019,pop,1.0
1903,83,2019,pop,1.0
1906,77,2018,pop,1.0
1907,81,2019,pop,1.0
1908,82,2018,pop,1.0
1909,79,2018,pop,1.0
1910,84,2019,pop,1.0
1911,60,2019,pop,1.0
1912,75,2019,pop,1.0
1916,82,2018,pop,1.0
1917,1,2019,pop,1.0
1918,68,2019,pop,1.0
1919,75,2019,pop,1.0
1920,63,2019,pop,1.0
1922,0,2019,pop,1.0
1923,80,2019,pop,1.0
1924,70,2019,pop,1.0
1926,71,2019,pop,1.0
1928,69,2019,pop,1.0
1929,86,2018,pop,1.0
1930,77,2019,pop,1.0
1931,76,2019,pop,1.0
1932,78,2018,pop,1.0
1934,57,2019,pop,1.0
1936,72,2019,pop,1.0
1938,76,2019,pop,1.0
1939,71,2019,pop,1.0
1944,69,2019,pop,1.0
1946,65,2019,pop,1.0
1947,69,2019,pop,1.0
1948,73,2018,pop,1.0
1949,76,2019,pop,1.0
1951,7,2018,pop,1.0
1952,79,2019,pop,1.0
1954,73,2019,pop,1.0
1955,66,2019,pop,1.0
1956,73,2019,pop,1.0
1958,78,2019,pop,1.0
1959,77,2019,pop,1.0
1961,4,2019,pop,1.0
1962,74,2018,pop,1.0
1964,70,2019,pop,1.0
1965,70,2018,pop,1.0
1969,75,2019,pop,1.0
1970,35,2019,pop,1.0
1972,71,2019,pop,1.0
1973,1,2019,pop,1.0
1974,71,2019,pop,1.0
1977,78,2018,pop,1.0
1978,64,2019,pop,1.0
1979,69,2019,pop,1.0
1981,69,2019,pop,1.0
1982,74,2019,pop,1.0
1985,64,2019,pop,1.0
1986,2,2019,pop,1.0
1987,69,2019,pop,1.0
1989,73,2019,pop,1.0
1990,73,2019,pop,1.0
1992,71,2019,pop,1.0
1993,63,2019,pop,1.0
1995,79,2019,pop,1.0
1996,78,2019,pop,1.0
1998,75,2019,pop,1.0
2001,79,1999,rock,1.0
2003,78,2000,rock,1.0
2007,68,2000,rock,1.0
2013,62,1999,rock,1.0
2020,83,2000,rock,1.0
2021,65,1999,rock,1.0
2059,0,2000,rock,1.0
2066,78,1999,rock,1.0
2069,66,1999,rock,1.0
2073,59,2000,rock,1.0
2077,78,2000,rock,1.0
2080,49,2000,rock,1.0
2089,54,2000,rock,1.0
2092,64,1999,rock,1.0
2097,69,1999,rock,1.0
2107,78,2001,rock,1.0
2123,71,1999,rock,1.0
2128,78,2001,rock,1.0
2135,69,2001,rock,1.0
2151,75,2001,rock,1.0
2153,68,2001,rock,1.0
2169,58,2000,rock,1.0
2173,68,2000,rock,1.0
2184,48,2001,rock,1.0
2190,68,2001,rock,1.0
2193,56,2000,rock,1.0
2195,64,2001,rock,1.0
2199,61,2000,rock,1.0
2206,27,2001,rock,1.0
2215,83,2000,rock,1.0
2220,60,2003,rock,1.0
2245,26,2001,rock,1.0
2247,80,2002,rock,1.0
2257,24,2001,rock,1.0
2269,79,2002,rock,1.0
2271,60,2002,rock,1.0
2273,69,2001,rock,1.0
2280,73,2002,rock,1.0
2281,60,2002,rock,1.0
2284,64,2001,rock,1.0
2287,47,2015,rock,1.0
2288,56,2002,rock,1.0
2289,70,2001,rock,1.0
2292,40,2001,rock,1.0
2296,64,2001,rock,1.0
2297,72,2002,rock,1.0
2304,50,2003,rock,1.0
2316,72,2003,rock,1.0
2321,72,2003,rock,1.0
2330,3,2003,rock,1.0
2335,68,2003,rock,1.0
2338,72,2002,rock,1.0
2339,58,2008,rock,1.0
2363,0,2003,rock,1.0
2367,67,2002,rock,1.0
2371,60,2003,rock,1.0
2374,79,2002,rock,1.0
2379,75,2002,rock,1.0
2390,63,2002,rock,1.0
2393,61,2003,rock,1.0
2395,68,2002,rock,1.0
2397,74,2003,rock,1.0
2404,79,2003,rock,1.0
2416,81,2003,rock,1.0
2419,73,2004,rock,1.0
2427,63,2004,rock,1.0
2436,33,2004,rock,1.0
2441,68,2003,rock,1.0
2450,57,2004,rock,1.0
2460,64,2004,rock,1.0
2461,77,2004,rock,1.0
2469,60,2003,rock,1.0
2472,77,2004,rock,1.0
2474,43,2004,rock,1.0
2483,74,2002,rock,1.0
2506,72,2004,rock,1.0
2517,73,2005,rock,1.0
2532,54,2005,rock,1.0
2539,58,2005,rock,1.0
2556,61,2005,rock,1.0
2560,74,2005,rock,1.0
2570,58,2005,rock,1.0
2575,60,2004,rock,1.0
2576,71,2006,rock,1.0
2579,63,2005,rock,1.0
2582,52,2012,rock,1.0
2583,67,2005,rock,1.0
2588,69,2005,rock,1.0
2591,69,2005,rock,1.0
2595,56,2004,rock,1.0
2596,65,2005,rock,1.0
2599,76,2005,rock,1.0
2621,75,2006,rock,1.0
2633,65,2005,rock,1.0
2653,70,2005,rock,1.0
2654,74,2005,rock,1.0
2660,72,2006,rock,1.0
2671,76,2006,rock,1.0
2672,63,2006,rock,1.0
2674,35,2019,rock,1.0
2675,56,2006,rock,1.0
2676,68,2006,rock,1.0
2677,42,2005,rock,1.0
2679,70,2005,rock,1.0
2688,67,2006,rock,1.0
2690,35,2006,rock,1.0
2693,76,2006,rock,1.0
2694,59,2006,rock,1.0
2695,65,2005,rock,1.0
2699,73,2006,rock,1.0
2730,77,2007,rock,1.0
2734,73,2007,rock,1.0
2738,73,2007,rock,1.0
2740,67,2007,rock,1.0
2743,73,2007,rock,1.0
2744,80,2006,rock,1.0
2749,45,2016,rock,1.0
2752,65,2007,rock,1.0
2758,69,2005,rock,1.0
2759,76,2007,rock,1.0
2761,76,2007,rock,1.0
2769,68,2007,rock,1.0
2770,72,2007,rock,1.0
2771,30,2019,rock,1.0
2773,78,2007,rock,1.0
2775,67,2007,rock,1.0
2792,53,2007,rock,1.0
2798,79,2006,rock,1.0
2838,73,2007,rock,1.0
2842,56,2007,rock,1.0
2847,78,2008,rock,1.0
2850,69,2008,rock,1.0
2857,1,2007,rock,1.0
2858,56,2008,rock,1.0
2861,77,2007,rock,1.0
2862,55,2007,rock,1.0
2864,57,2007,rock,1.0
2870,51,2008,rock,1.0
2874,67,2007,rock,1.0
2881,80,2008,rock,1.0
2882,80,2008,rock,1.0
2889,63,2008,rock,1.0
2909,75,2009,rock,1.0
2910,57,2009,rock,1.0
2927,68,2009,rock,1.0
2937,2,2009,rock,1.0
2948,70,2008,rock,1.0
2963,77,2008,rock,1.0
2965,66,2008,rock,1.0
2967,64,2009,rock,1.0
2972,75,2009,rock,1.0
2973,62,2008,rock,1.0
2985,80,2008,rock,1.0
2991,73,2009,rock,1.0
2994,67,2008,rock,1.0
2998,68,2009,rock,1.0
3026,32,2010,rock,1.0
3053,62,2010,rock,1.0
3080,54,2010,rock,1.0
3083,0,2010,rock,1.0
3088,52,2017,rock,1.0
3090,78,2009,rock,1.0
3094,64,2010,rock,1.0
3134,65,2011,rock,1.0
3135,76,2011,rock,1.0
3139,82,2011,rock,1.0
3171,82,2011,rock,1.0
3183,65,2011,rock,1.0
3189,73,2011,rock,1.0
3190,79,2011,rock,1.0
3191,69,2011,rock,1.0
3202,76,2012,rock,1.0
3226,73,2012,rock,1.0
3236,68,2011,rock,1.0
3246,0,2012,rock,1.0
3248,82,2011,rock,1.0
3252,78,2012,rock,1.0
3261,68,2012,rock,1.0
3265,60,2011,rock,1.0
3276,77,2012,rock,1.0
3279,63,2010,rock,1.0
3282,66,2011,rock,1.0
3286,71,2012,rock,1.0
3302,77,2012,rock,1.0
3322,89,2013,rock,1.0
3326,84,2013,rock,1.0
3338,71,2013,rock,1.0
3341,81,2012,rock,1.0
3344,84,2013,rock,1.0
3351,70,2014,rock,1.0
3355,2,2011,rock,1.0
3365,61,2013,rock,1.0
3373,74,2013,rock,1.0
3383,79,2012,rock,1.0
3386,79,2013,rock,1.0
3426,66,2014,rock,1.0
3446,70,2014,rock,1.0
3472,74,2014,rock,1.0
3479,80,2014,rock,1.0
3488,80,2014,rock,1.0
3494,0,2014,rock,1.0
3506,78,2015,rock,1.0
3512,85,2015,rock,1.0
3524,80,2015,rock,1.0
3527,83,2015,rock,1.0
3529,63,2015,rock,1.0
3551,71,2016,rock,1.0
3565,75,2015,rock,1.0
3585,0,2015,rock,1.0
3591,0,2015,rock,1.0
3610,82,2015,rock,1.0
3617,0,2016,rock,1.0
3619,80,2016,rock,1.0
3642,64,2016,rock,1.0
3643,80,2015,rock,1.0
3656,76,2015,rock,1.0
3659,75,2015,rock,1.0
3663,55,2015,rock,1.0
3684,65,2016,rock,1.0
3690,1,2016,rock,1.0
3706,1,2017,rock,1.0
3710,81,2018,rock,1.0
3730,80,2017,rock,1.0
3737,1,2017,rock,1.0
3777,61,2017,rock,1.0
3787,0,2017,rock,1.0
3815,80,2018,rock,1.0
3843,82,2018,rock,1.0
3846,70,2017,rock,1.0
3883,71,2018,rock,1.0
3890,56,2018,rock,1.0
3916,82,2018,rock,1.0
3977,78,2018,rock,1.0
3988,80,2018,rock,1.0
4002,66,1999,country,1.0
4038,61,2001,country,1.0
4058,65,2001,country,1.0
4168,60,2001,country,1.0
4597,67,2005,country,1.0
4661,0,2006,country,1.0
4668,62,2005,country,1.0
4670,69,2006,country,1.0
4785,76,2005,country,1.0
4982,50,2009,country,1.0
5092,73,2010,country,1.0
5098,64,2010,country,1.0
5174,53,2010,country,1.0
5186,50,2011,country,1.0
5188,63,2011,country,1.0
5196,64,2010,country,1.0
5240,0,2012,country,1.0
5285,63,2012,country,1.0
5368,56,2013,country,1.0
5399,57,2012,country,1.0
5997,69,2019,country,1.0
6003,78,2000,metal,1.0
6020,83,2000,metal,1.0
6025,72,2000,metal,1.0
6077,78,2000,metal,1.0
6080,49,2000,metal,1.0
6092,64,1999,metal,1.0
6097,69,1999,metal,1.0
6116,73,2000,metal,1.0
6123,71,1999,metal,1.0
6128,78,2001,metal,1.0
6135,69,2001,metal,1.0
6151,75,2001,metal,1.0
6195,64,2001,metal,1.0
6199,61,2000,metal,1.0
6215,83,2000,metal,1.0
6220,60,2003,metal,1.0
6222,66,2003,metal,1.0
6273,69,2001,metal,1.0
6287,47,2015,metal,1.0
6289,70,2001,metal,1.0
6292,40,2001,metal,1.0
6296,64,2001,metal,1.0
6316,72,2003,metal,1.0
6318,79,2003,metal,1.0
6321,72,2003,metal,1.0
6335,68,2003,metal,1.0
6338,72,2002,metal,1.0
